timestamp,link,util_bps,capacity_bps,util_pct,congested
13:50:19,s5-s3,8102948,5000000,162.1,1
13:50:19,s2-s4,10045252,5000000,200.9,1
13:50:21,s1-s2,12149956,10000000,121.5,1
13:50:21,s2-s3,16206708,10000000,162.1,1
13:50:21,s3-s4,13130040,10000000,131.3,1
13:50:21,s1-s5,8109444,5000000,162.2,1
13:50:21,s5-s3,8110256,5000000,162.2,1
13:50:21,s2-s4,10057432,5000000,201.1,1
13:50:23,s1-s2,12171068,10000000,121.7,1
13:50:23,s2-s3,16210768,10000000,162.1,1
13:50:23,s3-s4,13132476,10000000,131.3,1
13:50:23,s1-s5,8098888,5000000,162.0,1
13:50:23,s5-s3,8099700,5000000,162.0,1
13:50:23,s2-s4,10044440,5000000,200.9,1
13:50:25,s1-s2,12141836,10000000,121.4,1
13:50:25,s2-s3,16144996,10000000,161.4,1
13:50:25,s3-s4,13117048,10000000,131.2,1
13:50:25,s1-s5,8100512,5000000,162.0,1
13:50:25,s5-s3,8102948,5000000,162.1,1
13:50:25,s2-s4,10043628,5000000,200.9,1
13:50:27,s1-s2,12153204,10000000,121.5,1
13:50:27,s2-s3,16165296,10000000,161.7,1
13:50:27,s3-s4,13123544,10000000,131.2,1
13:50:27,s1-s5,8102948,5000000,162.1,1
13:50:27,s5-s3,8100512,5000000,162.0,1
13:50:27,s2-s4,10043628,5000000,200.9,1
13:50:29,s1-s2,12149956,10000000,121.5,1
13:50:29,s2-s3,16183160,10000000,161.8,1
13:50:29,s3-s4,13126792,10000000,131.3,1
13:50:29,s1-s5,8099700,5000000,162.0,1
13:50:29,s5-s3,8104572,5000000,162.1,1
13:50:29,s2-s4,10047688,5000000,201.0,1
13:50:31,s1-s2,12149956,10000000,121.5,1
13:50:31,s2-s3,16143372,10000000,161.4,1
13:50:31,s3-s4,13119484,10000000,131.2,1
13:50:31,s1-s5,8096452,5000000,161.9,1
13:50:31,s5-s3,8096452,5000000,161.9,1
13:50:31,s2-s4,10042004,5000000,200.8,1
13:50:33,s1-s2,12149956,10000000,121.5,1
13:50:33,s2-s3,16161236,10000000,161.6,1
13:50:33,s3-s4,13122732,10000000,131.2,1
13:50:33,s1-s5,8098888,5000000,162.0,1
13:50:33,s5-s3,8105384,5000000,162.1,1
13:50:33,s2-s4,10046876,5000000,200.9,1
13:50:35,s1-s2,12136964,10000000,121.4,1
13:50:35,s2-s3,16114952,10000000,161.1,1
13:50:35,s3-s4,13111364,10000000,131.1,1
13:50:35,s1-s5,8094016,5000000,161.9,1
13:50:35,s5-s3,8100512,5000000,162.0,1
13:50:35,s2-s4,10044440,5000000,200.9,1
13:50:37,s1-s2,12151580,10000000,121.5,1
13:50:37,s2-s3,16144996,10000000,161.4,1
13:50:37,s3-s4,13119484,10000000,131.2,1
13:50:37,s1-s5,8098888,5000000,162.0,1
13:50:37,s5-s3,8105384,5000000,162.1,1
13:50:37,s2-s4,10042004,5000000,200.8,1
13:50:39,s1-s2,12149956,10000000,121.5,1
13:50:39,s2-s3,16155552,10000000,161.6,1
13:50:39,s3-s4,13122732,10000000,131.2,1
13:50:39,s1-s5,8102948,5000000,162.1,1
13:50:39,s5-s3,8100512,5000000,162.0,1
13:50:39,s2-s4,10048500,5000000,201.0,1
13:50:41,s1-s2,12154828,10000000,121.5,1
13:50:41,s2-s3,16183972,10000000,161.8,1
13:50:41,s3-s4,13124356,10000000,131.2,1
13:50:41,s1-s5,8102136,5000000,162.0,1
13:50:41,s5-s3,8104572,5000000,162.1,1
